1 7.7 7.1 5.7 4.3
2 4.0 4.5 5.9 7.2
4 3.2 4.0 5.8 7.6
5 3.1 3.5 4.4 5.3
6 8.2 7.6 6.2 4.8
7 7.9 7.3 5.8 4.2
8 3.7 4.2 5.6 7.0
9 5.6 5.4 5.0 4.5
10 7.1 6.5 5.2 3.9
11 -1.8 -1.2 0.4 2.0
12 3.5 4.2 5.9 7.5
13 3.4 3.4 3.3 3.2
14 3.8 3.0 1.0 -1.0
15 5.1 4.3 2.4 0.5
16 0.4 1.0 2.3 3.6
17 4.2 3.4 1.4 -0.5
18 1.2 0.9 0.0 -0.9
19 3.6 2.8 1.0 -0.9
20 -1.0 -0.3 1.3 2.9
21 2.7 2.8 3.1 3.4
22 3.2 2.9 2.1 1.2
23 1.1 1.0 0.9 0.8
24 4.0 4.0 4.1 4.2
25 5.2 5.4 5.7 6.1
26 5.8 5.0 3.0 1.0
27 2.9 3.7 5.6 7.5
28 2.7 2.9 3.5 4.0
29 2.5 2.2 1.5 0.8
30 3.4 3.4 3.2 3.1
31 1.4 2.1 3.6 5.1
32 -0.5 0.0 1.1 2.3
33 2.4 2.0 1.2 0.4
34 2.6 2.2 1.3 0.4
35 1.1 1.4 2.2 3.0
36 1.7 1.5 1.2 0.8
37 5.0 5.0 4.9 4.8
38 4.1 3.7 2.6 1.6
39 6.6 6.6 6.5 6.5
40 4.3 3.5 1.8 0.1
41 -1.2 -0.4 1.5 3.4
42 2.1 2.6 4.0 5.3
43 5.4 4.8 3.3 1.8
44 6.1 5.5 4.0 2.5
45 1.0 1.4 2.4 3.5
46 8.1 7.3 5.5 3.7
47 4.3 3.8 2.5 1.2
48 2.5 3.0 4.2 5.3
49 1.1 1.7 3.2 4.7
50 5.4 5.9 7.2 8.5
51 3.9 3.8 3.4 3.1
52 6.7 6.9 7.3 7.8
53 4.3 4.5 5.0 5.5
54 4.2 5.0 6.7 8.4
55 0.2 1.0 2.7 4.4
56 5.5 5.2 4.5 3.8
57 2.0 2.3 3.2 4.0
58 4.4 4.6 5.1 5.5
59 5.7 5.2 4.1 3.0
60 4.2 4.7 6.0 7.4
61 7.4 7.7 8.5 9.3
62 6.5 6.3 5.9 5.6
63 7.1 7.1 7.3 7.4
64 8.1 8.2 8.5 8.8
65 4.0 4.2 4.9 5.6
66 6.7 7.1 8.0 9.0
67 8.5 8.5 8.4 8.4
68 2.8 3.4 4.9 6.4
69 10.0 9.7 9.1 8.5
70 7.1 7.4 8.2 9.0
71 7.4 7.6 8.0 8.4
72 9.0 8.5 7.4 6.3
73 9.5 9.2 8.6 8.0
74 9.5 9.8 10.6 11.4
75 8.3 8.6 9.6 10.5
76 7.3 7.0 6.4 5.7
77 6.0 5.9 5.8 5.7
78 5.9 6.1 6.7 7.4
79 6.9 7.2 8.0 8.7
80 5.6 6.3 7.8 9.3
81 9.8 9.4 8.2 7.1
82 5.2 5.6 6.8 7.9
